Nome da Tarefa;Tipo da Tarefa;Tipo da Tarefa ID;Data de Criação;Data de Conclusão;Status;Status Descrição;Usuário;ID do Usuário
Eaque totam error;Tarefa a Ser Feita;2;2023-09-07 21:50:29;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Porro dignissimos ut;Tarefa a Ser Feita;2;2025-05-21 05:24:31;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Laborum distinctio ullam cupiditate sunt;Tarefa a Ser Feita;2;2024-02-12 14:06:40;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar quidem;Item de Compra;1;2023-12-06 10:26:23;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Consectetur atque officiis incidunt;Tarefa a Ser Feita;2;2024-04-22 13:26:03;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Hic fugiat voluptatem veritatis;Tarefa a Ser Feita;2;2024-06-17 17:16:07;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Alias atque maiores;Tarefa a Ser Feita;2;2023-09-24 05:28:55;2024-07-18 05:28:55;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Repellat minima quia perspiciatis;Tarefa a Ser Feita;2;2024-03-04 08:38:02;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Quaerat quod animi voluptatem;Tarefa a Ser Feita;2;2025-04-02 17:40:42;2025-06-02 21:16:40;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar odio;Item de Compra;1;2024-09-21 22:18:37;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Eligendi neque autem;Tarefa a Ser Feita;2;2023-07-28 03:38:30;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar perspiciatis;Item de Compra;1;2023-09-12 06:41:23;2024-05-29 06:41:23;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar odio;Item de Compra;1;2023-07-08 09:44:09;2024-05-04 09:44:09;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Esse voluptas impedit error animi;Tarefa a Ser Feita;2;2024-01-05 20:52:31;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Similique illo earum ad quia repudiandae;Tarefa a Ser Feita;2;2024-09-03 20:27:45;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar delectus;Item de Compra;1;2024-09-21 07:39:34;2025-05-10 07:39:34;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar rem;Item de Compra;1;2023-09-23 16:06:11;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Quam non ex deleniti sapiente fuga repudiandae;Tarefa a Ser Feita;2;2024-11-10 01:53:01;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Id est officia non;Tarefa a Ser Feita;2;2024-05-16 08:46:32;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Laborum accusamus reiciendis;Tarefa a Ser Feita;2;2025-05-24 03:25:53;2025-06-02 20:58:40;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Tenetur amet magnam repellendus;Tarefa a Ser Feita;2;2024-06-06 11:41:37;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar exercitationem;Item de Compra;1;2023-06-25 07:58:59;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Possimus ad quos commodi quidem blanditiis;Tarefa a Ser Feita;2;2023-11-15 05:19:49;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Rem quos repellendus similique;Tarefa a Ser Feita;2;2024-03-08 19:04:55;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Saepe officia ab dignissimos beatae;Tarefa a Ser Feita;2;2023-07-04 12:50:44;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Expedita quae neque temporibus quidem;Tarefa a Ser Feita;2;2023-07-28 10:00:30;2024-03-03 10:00:30;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Repudiandae similique quasi doloremque;Tarefa a Ser Feita;2;2024-02-09 03:19:01;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Nisi quaerat odio voluptas facere beatae est deserunt;Tarefa a Ser Feita;2;2025-03-07 04:43:32;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Architecto harum quibusdam;Tarefa a Ser Feita;2;2023-06-04 17:37:52;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar quos;Item de Compra;1;2023-10-09 10:48:14;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Temporibus earum hic;Tarefa a Ser Feita;2;2023-10-17 00:51:25;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Minima unde consequatur vel explicabo itaque blanditiis nihil quod;Tarefa a Ser Feita;2;2024-08-12 07:16:45;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar temporibus;Item de Compra;1;2023-12-31 15:16:38;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Sit est distinctio incidunt reprehenderit et dolorem;Tarefa a Ser Feita;2;2024-07-02 15:29:22;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Quidem facere quis in doloremque;Tarefa a Ser Feita;2;2024-08-28 00:54:15;2024-10-17 00:54:15;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Dolorem optio;Tarefa a Ser Feita;2;2023-07-17 13:38:40;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Necessitatibus laboriosam blanditiis consectetur sapiente incidunt laudantium;Tarefa a Ser Feita;2;2025-01-13 20:19:47;2025-06-02 21:38:40;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Nostrum mollitia consequatur;Tarefa a Ser Feita;2;2025-01-11 11:39:17;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar facilis;Item de Compra;1;2024-05-27 16:53:48;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Praesentium totam maxime facere officia;Tarefa a Ser Feita;2;2023-09-04 03:49:12;2024-07-29 03:49:12;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Quibusdam ex nisi;Tarefa a Ser Feita;2;2024-01-26 07:13:28;2024-03-18 07:13:28;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Sunt impedit a sit repellendus;Tarefa a Ser Feita;2;2024-04-06 13:47:43;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar iste;Item de Compra;1;2023-11-06 14:21:34;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Error quisquam ad;Tarefa a Ser Feita;2;2024-01-16 16:10:15;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Veritatis cupiditate ipsa possimus minima;Tarefa a Ser Feita;2;2024-10-02 14:48:40;2025-06-02 21:37:40;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar qui;Item de Compra;1;2023-09-09 00:13:13;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar error;Item de Compra;1;2024-05-01 15:57:52;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Asperiores iste;Tarefa a Ser Feita;2;2025-01-17 12:06:56;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Impedit laborum quasi excepturi perferendis velit;Tarefa a Ser Feita;2;2024-12-04 04:02:33;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar error;Item de Compra;1;2025-01-13 15:17:35;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Repudiandae aliquid sint maxime;Tarefa a Ser Feita;2;2024-05-22 05:55:09;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Est perferendis officia illo;Tarefa a Ser Feita;2;2024-12-21 03:48:33;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Eligendi odit repellendus;Tarefa a Ser Feita;2;2024-08-01 12:05:57;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Alias sint ipsum;Tarefa a Ser Feita;2;2023-12-10 07:44:34;2024-08-21 07:44:34;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Molestiae aliquam iste ipsa;Tarefa a Ser Feita;2;2024-12-23 09:21:59;2025-06-02 21:17:40;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar possimus;Item de Compra;1;2025-04-29 05:42:28;2025-06-02 21:12:40;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Nesciunt magnam reprehenderit nostrum minus reiciendis minima;Tarefa a Ser Feita;2;2023-10-09 07:33:32;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Debitis ex delectus ex;Tarefa a Ser Feita;2;2024-08-02 00:04:07;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Expedita labore mollitia eos repudiandae;Tarefa a Ser Feita;2;2025-05-02 20:21:52;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar dignissimos;Item de Compra;1;2024-08-14 03:14:28;2025-06-02 21:28:40;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar reiciendis;Item de Compra;1;2023-11-03 13:23:43;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar hic;Item de Compra;1;2024-10-31 04:06:21;2025-06-02 20:50:40;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Eum quos itaque ad omnis labore facere earum;Tarefa a Ser Feita;2;2023-06-23 00:45:06;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Repellendus sapiente esse est;Tarefa a Ser Feita;2;2024-03-14 19:20:55;2024-04-07 19:20:55;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Est dolorem perspiciatis autem deleniti est unde;Tarefa a Ser Feita;2;2023-10-08 00:57:05;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Nihil cupiditate perferendis a autem laboriosam accusantium dolorem;Tarefa a Ser Feita;2;2024-05-10 13:38:56;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar eveniet;Item de Compra;1;2025-04-25 16:45:27;2025-06-02 20:56:40;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Unde delectus debitis accusantium sit sunt magnam;Tarefa a Ser Feita;2;2024-08-08 01:56:49;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar eligendi;Item de Compra;1;2024-05-19 12:16:55;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Blanditiis ratione vero quas quae;Tarefa a Ser Feita;2;2024-07-01 11:09:31;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Et a;Tarefa a Ser Feita;2;2023-10-10 15:12:56;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Velit exercitationem quasi architecto ad cumque ab;Tarefa a Ser Feita;2;2024-04-21 05:53:35;2024-12-31 05:53:35;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar quisquam;Item de Compra;1;2025-04-08 17:22:15;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar aliquid;Item de Compra;1;2024-10-04 13:40:31;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Harum rerum perferendis doloremque non nostrum ullam;Tarefa a Ser Feita;2;2023-08-11 07:39:02;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar quod;Item de Compra;1;2023-12-26 09:45:02;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar sequi;Item de Compra;1;2024-08-28 19:40:34;2024-09-02 19:40:34;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Architecto amet quam numquam amet nam;Tarefa a Ser Feita;2;2024-01-03 14:25:25;2024-02-22 14:25:25;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Doloribus tempora libero debitis;Tarefa a Ser Feita;2;2023-11-29 12:50:18;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Vero soluta neque;Tarefa a Ser Feita;2;2024-04-06 04:21:55;2024-05-23 04:21:55;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar magni;Item de Compra;1;2024-09-15 12:34:01;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Pariatur illo laudantium commodi esse earum asperiores;Tarefa a Ser Feita;2;2024-04-02 11:18:17;2024-07-12 11:18:17;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar ratione;Item de Compra;1;2024-09-01 23:46:10;2025-06-02 21:21:40;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Ratione culpa maiores;Tarefa a Ser Feita;2;2024-08-04 01:46:32;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar adipisci;Item de Compra;1;2023-06-07 07:11:17;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Possimus error consequuntur;Tarefa a Ser Feita;2;2025-03-26 21:03:59;2025-06-02 21:12:40;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Quaerat mollitia voluptatum quibusdam repudiandae;Tarefa a Ser Feita;2;2024-08-04 05:17:55;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar sit;Item de Compra;1;2024-07-09 05:55:52;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Quia sapiente tempore;Tarefa a Ser Feita;2;2023-12-31 00:14:21;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Repellendus quidem error odit quo;Tarefa a Ser Feita;2;2023-12-01 04:23:14;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Dignissimos et facilis numquam nam cum iste impedit;Tarefa a Ser Feita;2;2023-08-05 13:59:09;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar debitis;Item de Compra;1;2024-04-20 06:20:45;2024-09-03 06:20:45;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar expedita;Item de Compra;1;2024-11-23 01:32:14;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Ipsa facilis rerum;Tarefa a Ser Feita;2;2024-11-09 23:36:46;2025-02-09 23:36:46;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar nulla;Item de Compra;1;2024-07-21 20:01:29;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Molestias facilis totam quidem beatae;Tarefa a Ser Feita;2;2024-12-03 10:05:24;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Provident vero ipsa;Tarefa a Ser Feita;2;2025-05-01 15:33:19;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Possimus dolorum eos voluptates nemo cupiditate;Tarefa a Ser Feita;2;2024-08-25 08:20:24;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar fuga;Item de Compra;1;2023-06-05 14:48:54;2023-09-08 14:48:54;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Tenetur alias deleniti necessitatibus;Tarefa a Ser Feita;2;2025-01-06 09:20:52;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Totam magni dolorum illum libero soluta nisi;Tarefa a Ser Feita;2;2023-08-11 02:00:35;2024-03-01 02:00:35;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Enim ullam ipsam nisi consectetur;Tarefa a Ser Feita;2;2024-02-19 05:01:26;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Fuga iste commodi explicabo sequi sit nobis;Tarefa a Ser Feita;2;2023-12-17 03:54:19;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Porro delectus facilis sit adipisci est;Tarefa a Ser Feita;2;2024-08-15 16:42:48;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar sint;Item de Compra;1;2023-08-17 23:13:45;2024-04-07 23:13:45;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Quae beatae qui maxime in natus numquam cupiditate animi;Tarefa a Ser Feita;2;2023-11-14 01:38:57;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar labore;Item de Compra;1;2024-02-12 02:29:34;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Delectus voluptatem quia porro unde;Tarefa a Ser Feita;2;2024-06-12 20:04:06;2024-08-25 20:04:06;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Dicta accusantium sit alias saepe;Tarefa a Ser Feita;2;2024-10-07 04:08:26;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Saepe ipsa;Tarefa a Ser Feita;2;2024-09-06 02:36:19;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Dolor rem porro quidem saepe;Tarefa a Ser Feita;2;2025-05-04 09:36:53;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Nemo dicta mollitia sed;Tarefa a Ser Feita;2;2023-11-17 12:22:15;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar facilis;Item de Compra;1;2024-06-03 22:07:35;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Laudantium harum ducimus nobis porro eveniet doloribus;Tarefa a Ser Feita;2;2024-08-08 10:27:32;2024-11-01 10:27:32;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Fuga consequuntur;Tarefa a Ser Feita;2;2024-05-26 15:48:24;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Ipsa doloribus mollitia;Tarefa a Ser Feita;2;2024-07-22 00:19:57;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar officia;Item de Compra;1;2025-03-06 05:54:36;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Quam eius culpa laborum quam excepturi;Tarefa a Ser Feita;2;2024-04-17 01:23:08;2024-12-17 01:23:08;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Praesentium ex commodi officiis;Tarefa a Ser Feita;2;2024-04-10 05:49:28;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar ipsam;Item de Compra;1;2024-03-08 20:39:06;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Maxime dolorem neque autem minima ut;Tarefa a Ser Feita;2;2024-04-26 17:30:28;2024-06-25 17:30:28;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Earum a;Tarefa a Ser Feita;2;2024-02-15 13:05:20;2024-02-25 13:05:20;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Fuga tempore eligendi dolores nihil;Tarefa a Ser Feita;2;2024-11-03 08:16:27;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar occaecati;Item de Compra;1;2024-09-30 22:06:19;2025-01-03 22:06:19;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Nesciunt beatae quod voluptate;Tarefa a Ser Feita;2;2025-01-15 11:01:44;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Tempore officia fuga nemo;Tarefa a Ser Feita;2;2024-10-25 08:29:13;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Quam vero in commodi nihil eaque;Tarefa a Ser Feita;2;2024-07-07 10:28:32;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Adipisci porro doloremque;Tarefa a Ser Feita;2;2025-05-22 00:00:05;2025-06-02 20:56:40;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Vero neque ullam a;Tarefa a Ser Feita;2;2025-05-01 21:35:16;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Aperiam expedita adipisci excepturi;Tarefa a Ser Feita;2;2023-08-27 11:01:28;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Culpa commodi ipsam sit accusantium quibusdam;Tarefa a Ser Feita;2;2023-07-30 03:12:50;2023-10-16 03:12:50;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Et quae modi facilis eius;Tarefa a Ser Feita;2;2024-02-23 22:48:49;2024-08-17 22:48:49;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Facere quas culpa recusandae vel cumque autem perspiciatis;Tarefa a Ser Feita;2;2025-02-14 00:31:48;2025-06-02 21:46:40;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Sed;Tarefa a Ser Feita;2;2025-05-27 04:44:27;2025-06-02 21:06:40;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar voluptatibus;Item de Compra;1;2023-09-08 17:09:11;2024-05-22 17:09:11;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar consectetur;Item de Compra;1;2025-02-14 23:12:30;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar et;Item de Compra;1;2024-06-21 22:20:20;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar voluptatibus;Item de Compra;1;2024-02-20 20:33:28;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Vitae dolorem;Tarefa a Ser Feita;2;2023-07-20 02:39:59;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Id earum suscipit quas;Tarefa a Ser Feita;2;2024-06-22 07:03:16;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Aliquid ut vitae expedita;Tarefa a Ser Feita;2;2023-09-09 03:46:38;2024-03-15 03:46:38;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Ex aliquid aut dicta ipsum nihil;Tarefa a Ser Feita;2;2025-02-20 21:02:25;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar incidunt;Item de Compra;1;2025-04-23 10:32:16;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar ipsa;Item de Compra;1;2024-12-25 23:22:36;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Vel nesciunt delectus possimus deserunt assumenda;Tarefa a Ser Feita;2;2024-05-26 05:49:57;2024-12-02 05:49:57;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Nostrum sed fuga repellendus saepe fuga voluptate;Tarefa a Ser Feita;2;2024-10-27 23:21:39;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Consectetur amet distinctio temporibus accusamus;Tarefa a Ser Feita;2;2025-05-09 07:29:20;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Ipsam dicta similique quidem perspiciatis deleniti;Tarefa a Ser Feita;2;2023-12-28 12:10:11;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Nesciunt saepe doloribus vitae;Tarefa a Ser Feita;2;2024-10-10 23:22:34;2025-06-02 21:26:40;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar sequi;Item de Compra;1;2025-04-03 20:29:55;2025-06-02 21:14:40;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Fugiat molestiae accusamus ipsam;Tarefa a Ser Feita;2;2025-03-03 08:25:27;2025-06-02 20:56:40;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar sed;Item de Compra;1;2023-07-01 14:12:15;2023-10-16 14:12:15;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Sunt tempore pariatur repellendus adipisci laboriosam odio odit;Tarefa a Ser Feita;2;2025-05-02 19:58:43;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Autem totam velit ipsum;Tarefa a Ser Feita;2;2024-11-09 14:48:00;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Autem optio accusamus;Tarefa a Ser Feita;2;2024-09-05 20:53:38;2025-04-26 20:53:38;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Quas sunt repudiandae odit deserunt;Tarefa a Ser Feita;2;2024-02-05 09:09:41;2024-05-11 09:09:41;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar unde;Item de Compra;1;2023-07-23 14:48:48;2024-03-13 14:48:48;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Excepturi illum odit repellendus a inventore ipsa distinctio;Tarefa a Ser Feita;2;2024-01-09 13:56:09;2024-10-27 13:56:09;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Sed doloremque voluptatibus tempore;Tarefa a Ser Feita;2;2024-06-26 18:02:07;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar beatae;Item de Compra;1;2023-12-26 02:26:14;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Dolores sapiente vitae facere;Tarefa a Ser Feita;2;2024-12-03 15:08:10;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
